City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Wabash,US,81.12,clear sky,40.7978,-85.8205,"Holiday Inn Express & Suites Wabash, an IHG Hotel"
3,Sola,VU,80.17,overcast clouds,-13.8833,167.55,Leumerus Bungalows
5,Rikitea,PF,75.58,clear sky,-23.1203,-134.9692,People ThankYou
6,Ahuimanu,US,83.34,light rain,21.4447,-157.8378,Paradise Bay Resort
9,Hithadhoo,MV,83.93,scattered clouds,-0.6,73.0833,Scoop Guest House
13,Douentza,ML,85.82,overcast clouds,14.9951,-2.9517,Ogomono Doumbo
14,Waingapu,ID,82.0,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
16,Butaritari,KI,81.46,moderate rain,3.0707,172.7902,Isles Sunset Lodge
18,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
22,Atuona,PF,78.35,clear sky,-9.8,-139.0333,Villa Enata
25,Dudinka,RU,78.62,clear sky,69.4058,86.1778,Hotel Viktoria
30,Cairns,AU,78.12,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
31,El Tarra,CO,75.16,broken clouds,8.5756,-73.0949,Casa juvenil Sor Amanda Bedoya
33,Porto Walter,BR,76.75,overcast clouds,-8.2686,-72.7439,Hotel Silva
36,Avarua,CK,82.45,scattered clouds,-21.2078,-159.775,Paradise Inn
47,Hilo,US,84.27,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
49,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
52,Victoria,HK,89.65,broken clouds,22.2855,114.1577,Mini Central
55,Hasaki,JP,77.4,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
57,Bairiki,KI,86.0,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
82,Ixtapa,MX,84.22,overcast clouds,20.7,-105.2,hotel la terminal
83,Marawi,PH,79.48,scattered clouds,7.9986,124.2928,Derogongan Residence
84,Bilma,NE,89.91,clear sky,18.6853,12.9164,Expeditions Ténére voyages
87,Salalah,OM,82.49,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
88,Bonthe,SL,77.81,light rain,7.5264,-12.505,Bonthe Holiday Village
90,Aklavik,CA,77.14,overcast clouds,68.2191,-135.0107,Aklavik Inn
98,Montego Bay,JM,78.78,overcast clouds,18.4712,-77.9188,Sunscape Splash Montego Bay
99,Faanui,PF,80.33,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
102,Kangayam,IN,76.17,overcast clouds,11.0,77.5667,Sri Selvi Lodge
109,Kavieng,PG,84.87,light rain,-2.5744,150.7967,Nusa Island Retreat
112,Taitung,TW,88.07,few clouds,22.7583,121.1444,Taitung Bali Suites Hotel
115,Buchanan,LR,76.35,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
121,Lexington,US,76.14,clear sky,37.9887,-84.4777,DoubleTree Suites by Hilton Hotel Lexington
126,Mogadishu,SO,77.85,overcast clouds,2.0371,45.3438,Hotel Juba
129,Peachland,CA,78.85,clear sky,49.7665,-119.7357,Wine Stopper B&B
130,Codajas,BR,76.44,overcast clouds,-3.8367,-62.0569,Atlântic Hotel
135,Miles City,US,81.57,clear sky,46.4083,-105.8406,FairBridge Inn & Suites Miles City
140,Dingle,PH,84.0,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
142,Sur,OM,85.08,broken clouds,22.5667,59.5289,Sur Plaza Hotel
143,Linfen,CN,83.75,clear sky,36.0889,111.5189,Suoxing Hotel
144,Les Cayes,HT,77.88,scattered clouds,18.2,-73.75,Villa Orphee
147,Portland,US,79.38,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
150,Hambantota,LK,77.34,scattered clouds,6.1241,81.1185,Bungalow 63
155,Ashland,US,78.76,broken clouds,40.8167,-82.2665,SureStay
158,San Cristobal,VE,75.38,clear sky,7.7669,-72.225,Pirineos
159,Zaysan,KZ,84.99,clear sky,47.4667,84.8667,Ерлан үй
160,Neiafu,TO,79.48,few clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
165,Amga,RU,77.52,few clouds,60.8953,131.9608,Algys
171,Kahului,US,82.98,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
172,Sinnamary,GF,77.07,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
175,Kapaa,US,79.48,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
176,Lompoc,US,76.84,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
179,Assiniboia,CA,77.76,clear sky,49.6334,-105.9845,Canalta Hotel Assiniboia
182,Zhangye,CN,78.89,clear sky,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
183,Alugan,PH,81.61,overcast clouds,12.2188,125.4808,JM Lodge
185,Kapit,MY,75.79,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
