City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Calama,CL,-22.4667,-68.9333,52.29,17,0,16.11,clear sky
1,Wabash,US,40.7978,-85.8205,81.12,74,4,7.18,clear sky
2,Bluff,NZ,-46.6,168.3333,41.81,58,82,6.38,broken clouds
3,Sola,VU,-13.8833,167.55,80.17,79,94,17.74,overcast clouds
4,Katsuura,JP,35.1333,140.3,73.71,87,58,9.48,broken clouds
5,Rikitea,PF,-23.1203,-134.9692,75.58,73,9,13.56,clear sky
6,Ahuimanu,US,21.4447,-157.8378,83.34,64,75,16.11,light rain
7,Chokurdakh,RU,70.6333,147.9167,44.94,47,88,16.24,overcast clouds
8,Itarema,BR,-2.9248,-39.9167,74.44,86,100,9.35,overcast clouds
9,Hithadhoo,MV,-0.6,73.0833,83.93,69,36,10.65,scattered clouds
10,Rodionovo-Nesvetayskaya,RU,47.6103,39.7121,57.72,66,9,4.38,clear sky
11,Rio Gallegos,AR,-51.6226,-69.2181,34.61,80,100,21.27,overcast clouds
12,Albany,US,42.6001,-73.9662,63.18,80,100,3.0,overcast clouds
13,Douentza,ML,14.9951,-2.9517,85.82,51,100,11.7,overcast clouds
14,Waingapu,ID,-9.6567,120.2641,82.0,62,45,17.87,scattered clouds
15,Odenthal,DE,51.0348,7.1182,67.86,55,0,6.91,clear sky
16,Butaritari,KI,3.0707,172.7902,81.46,77,98,10.83,moderate rain
17,Constitucion,CL,-35.3333,-72.4167,52.52,87,100,18.68,light rain
18,Vaini,TO,-21.2,-175.2,77.16,61,20,11.5,few clouds
19,Grootfontein,NA,-19.5667,18.1167,48.52,35,0,4.29,clear sky
20,Airai,TL,-8.9266,125.4092,66.72,67,81,5.41,light rain
21,New Norfolk,AU,-42.7826,147.0587,56.91,82,100,4.0,overcast clouds
22,Atuona,PF,-9.8,-139.0333,78.35,63,0,19.64,clear sky
23,Ushuaia,AR,-54.8,-68.3,35.26,93,100,23.02,light rain
24,Hermanus,ZA,-34.4187,19.2345,59.81,87,100,11.05,overcast clouds
25,Dudinka,RU,69.4058,86.1778,78.62,35,0,8.1,clear sky
26,Tuktoyaktuk,CA,69.4541,-133.0374,43.74,69,100,7.07,overcast clouds
27,Castro,BR,-24.7911,-50.0119,59.31,90,0,4.52,clear sky
28,Mar Del Plata,AR,-38.0023,-57.5575,43.95,63,19,4.61,few clouds
29,Iqaluit,CA,63.7506,-68.5145,41.7,66,100,8.01,overcast clouds
30,Cairns,AU,-16.9167,145.7667,78.12,69,100,19.57,overcast clouds
31,El Tarra,CO,8.5756,-73.0949,75.16,94,74,2.53,broken clouds
32,Geraldton,AU,-28.7667,114.6,55.81,94,100,12.66,overcast clouds
33,Porto Walter,BR,-8.2686,-72.7439,76.75,69,100,2.93,overcast clouds
34,Marzuq,YE,14.4,46.4667,77.65,47,45,4.5,scattered clouds
35,Mataura,NZ,-46.1927,168.8643,41.49,50,96,2.06,overcast clouds
36,Avarua,CK,-21.2078,-159.775,82.45,83,40,17.27,scattered clouds
37,Dunedin,NZ,-45.8742,170.5036,51.8,58,100,1.34,overcast clouds
38,Clyde River,CA,70.4692,-68.5914,34.03,93,100,17.27,light snow
39,Gladstone,AU,-23.85,151.25,72.79,46,0,5.75,clear sky
40,Tasiilaq,GL,65.6145,-37.6368,30.36,81,10,5.48,clear sky
41,Cuetzalan,MX,20.0333,-97.5167,65.64,95,98,1.32,overcast clouds
42,Shiraoi,JP,42.55,141.35,62.2,95,100,6.46,overcast clouds
43,Dukat,RU,62.55,155.55,51.49,79,100,9.64,overcast clouds
44,Catalao,BR,-18.1658,-47.9464,63.01,49,100,6.17,overcast clouds
45,Petrovsk-Zabaykalskiy,RU,51.273,108.843,65.77,47,0,7.92,clear sky
46,Tiznit,MA,29.5833,-9.5,60.78,65,5,2.77,clear sky
47,Hilo,US,19.7297,-155.09,84.27,81,100,5.75,overcast clouds
48,Barra Patuca,HN,15.8,-84.2833,78.39,81,21,5.99,few clouds
49,Georgetown,MY,5.4112,100.3354,80.89,87,20,0.0,few clouds
50,Sitka,US,57.0531,-135.33,53.49,82,100,4.61,overcast clouds
51,Port Alfred,ZA,-33.5906,26.891,63.19,74,93,5.93,overcast clouds
52,Victoria,HK,22.2855,114.1577,89.65,78,52,5.01,broken clouds
53,Khatanga,RU,71.9667,102.5,53.49,38,87,13.62,overcast clouds
54,Baoro,CF,5.6667,15.9667,65.48,97,100,2.64,overcast clouds
55,Hasaki,JP,35.7333,140.8333,77.4,86,95,9.91,overcast clouds
56,San Jose,US,37.3394,-121.895,90.21,43,75,11.5,broken clouds
57,Bairiki,KI,1.3292,172.9752,86.0,74,20,10.36,few clouds
58,Bartica,GY,6.4,-58.6167,73.45,98,100,2.44,overcast clouds
59,Narsaq,GL,60.9167,-46.05,52.02,52,0,4.52,clear sky
60,Axim,GH,4.8699,-2.2405,74.7,93,95,5.01,light rain
61,Ossora,RU,59.2353,163.0719,50.97,85,99,7.7,overcast clouds
62,Lebu,CL,-37.6167,-73.65,48.45,90,100,7.83,heavy intensity rain
63,Leningradskiy,RU,69.3833,178.4167,51.53,53,86,9.15,overcast clouds
64,Thiadiaye,SN,14.4205,-16.7056,79.61,62,71,11.32,broken clouds
65,Pevek,RU,69.7008,170.3133,45.09,60,100,11.97,overcast clouds
66,Svetlogorsk,BY,52.6333,29.7333,54.1,91,66,9.98,broken clouds
67,Deputatskiy,RU,69.3,139.9,46.69,38,13,14.83,few clouds
68,Nizhnevartovsk,RU,60.9344,76.5531,59.02,100,75,7.0,broken clouds
69,Saint George,US,37.1041,-113.5841,92.62,18,0,14.97,clear sky
70,Tiksi,RU,71.6872,128.8694,40.66,63,100,22.86,overcast clouds
71,Verkhoyansk,RU,67.5447,133.385,55.87,55,58,2.73,broken clouds
72,Skibbereen,IE,51.55,-9.2667,53.11,92,0,3.6,clear sky
73,Nikolskoye,RU,59.7035,30.7861,49.91,72,91,3.04,overcast clouds
74,Coihaique,CL,-45.5752,-72.0662,25.41,86,0,1.14,clear sky
75,Cooma,AU,-36.2333,149.1333,49.37,70,100,4.54,overcast clouds
76,Guerrero Negro,MX,27.9769,-114.0611,73.87,59,0,18.21,clear sky
77,Bethel,US,41.3712,-73.414,61.65,95,99,1.01,overcast clouds
78,Vestmannaeyjar,IS,63.4427,-20.2734,46.78,74,100,4.03,overcast clouds
79,Port Elizabeth,ZA,-33.918,25.5701,59.31,87,100,1.99,overcast clouds
80,Camacha,PT,33.0833,-16.3333,63.82,72,40,8.05,scattered clouds
81,Coquimbo,CL,-29.9533,-71.3436,58.73,72,40,13.8,light rain
82,Ixtapa,MX,20.7,-105.2,84.22,74,100,8.05,overcast clouds
83,Marawi,PH,7.9986,124.2928,79.48,66,42,1.34,scattered clouds
84,Bilma,NE,18.6853,12.9164,89.91,14,5,5.28,clear sky
85,Yerofey Pavlovich,RU,53.9667,121.9667,58.98,95,100,3.8,overcast clouds
86,Nome,US,64.5011,-165.4064,44.17,96,100,14.54,overcast clouds
87,Salalah,OM,17.0151,54.0924,82.49,89,75,10.36,broken clouds
88,Bonthe,SL,7.5264,-12.505,77.81,86,100,8.14,light rain
89,Hobart,AU,-42.8794,147.3294,57.25,78,75,1.99,broken clouds
90,Aklavik,CA,68.2191,-135.0107,77.14,27,100,12.68,overcast clouds
91,Bowen,AU,-20.0167,148.2333,71.37,64,0,17.05,clear sky
92,Barrow,US,71.2906,-156.7887,42.82,87,100,13.8,mist
93,Jamestown,US,42.097,-79.2353,74.84,56,0,10.36,clear sky
94,Punta Arenas,CL,-53.15,-70.9167,39.11,60,100,14.88,overcast clouds
95,Acari,PE,-15.4311,-74.6158,64.24,70,91,2.42,overcast clouds
96,Busselton,AU,-33.65,115.3333,59.67,87,100,9.44,light rain
97,Krasnoselkup,RU,65.7,82.4667,74.28,41,0,11.59,clear sky
98,Montego Bay,JM,18.4712,-77.9188,78.78,81,90,6.2,overcast clouds
99,Faanui,PF,-16.4833,-151.75,80.33,66,20,8.79,few clouds
100,Esperance,AU,-33.8667,121.9,60.48,79,100,13.31,overcast clouds
101,Mysen,NO,59.5535,11.3258,58.69,91,100,1.01,light rain
102,Kangayam,IN,11.0,77.5667,76.17,72,100,15.9,overcast clouds
103,Prince Rupert,CA,54.3161,-130.3201,53.01,72,55,4.45,broken clouds
104,Hammerfest,NO,70.6634,23.6821,50.45,66,100,8.05,overcast clouds
