City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Hermanus,-34.4187,19.2345,56.8,76,99,7.14,ZA,2022-06-22 06:06:34
1,Pisco,-13.7,-76.2167,59.05,82,100,5.75,PE,2022-06-22 06:06:34
2,Nantucket,41.2835,-70.0995,62.71,88,0,10.36,US,2022-06-22 06:06:35
3,Qaanaaq,77.484,-69.3632,33.55,66,94,5.7,GL,2022-06-22 06:06:35
4,Kapaa,22.0752,-159.319,80.58,90,20,16.11,US,2022-06-22 06:06:36
5,Bengkulu,-3.8004,102.2655,83.79,66,82,5.66,ID,2022-06-22 06:06:36
6,Skegness,53.1436,0.3363,62.58,79,15,1.1,GB,2022-06-22 06:06:36
7,Helong,42.5397,128.9972,69.98,89,100,2.68,CN,2022-06-22 06:06:37
8,Raga,8.4596,25.678,74.91,77,9,4.43,SS,2022-06-22 06:06:37
9,Homer,59.6425,-151.5483,60.67,72,0,11.01,US,2022-06-22 06:06:38
10,Punta Arenas,-53.15,-70.9167,35.11,80,75,12.06,CL,2022-06-22 06:02:43
11,Vardo,70.3705,31.1107,44.58,100,75,10.36,NO,2022-06-22 06:06:38
12,Albany,42.6001,-73.9662,61.43,92,100,1.01,US,2022-06-22 06:06:39
13,Jamestown,42.097,-79.2353,81.99,71,0,6.91,US,2022-06-22 06:05:28
14,Arraial Do Cabo,-22.9661,-42.0278,70.18,92,0,21.23,BR,2022-06-22 06:06:39
15,Mar Del Plata,-38.0023,-57.5575,43.95,63,23,1.99,AR,2022-06-22 06:06:39
16,Busselton,-33.65,115.3333,66.7,66,56,15.28,AU,2022-06-22 06:04:07
17,Rikitea,-23.1203,-134.9692,73.47,66,25,8.37,PF,2022-06-22 06:06:40
18,Castro,-24.7911,-50.0119,60.51,84,62,6.89,BR,2022-06-22 06:06:40
19,Chapais,49.7834,-74.8492,56.98,98,100,11.03,CA,2022-06-22 06:06:40
20,Saldanha,-33.0117,17.9442,58.59,80,68,6.85,ZA,2022-06-22 06:06:41
21,Villazon,-22.0866,-65.5942,30.36,12,24,7.52,BO,2022-06-22 06:06:41
22,Hilo,19.7297,-155.09,75.27,93,100,9.22,US,2022-06-22 06:05:54
23,Butaritari,3.0707,172.7902,82.98,70,10,11.1,KI,2022-06-22 06:06:42
24,Luderitz,-26.6481,15.1594,51.73,75,0,4.97,NA,2022-06-22 06:06:42
25,Palauig,15.435,119.9045,86.72,70,58,7.56,PH,2022-06-22 06:06:43
26,Ushuaia,-54.8,-68.3,35.26,87,40,26.46,AR,2022-06-22 06:03:06
27,Sao Joao Da Barra,-21.6403,-41.0511,69.22,91,0,11.59,BR,2022-06-22 06:06:43
28,Sarangani,5.4033,125.4636,83.44,72,82,7.23,PH,2022-06-22 06:06:44
29,Drovyanaya,51.5833,113.0333,78.39,30,13,5.99,RU,2022-06-22 06:06:44
30,Bluff,-46.6,168.3333,41.81,80,4,5.68,NZ,2022-06-22 06:06:44
31,Barrow,71.2906,-156.7887,42.82,81,100,9.22,US,2022-06-22 06:06:45
32,Pevek,69.7008,170.3133,34.86,68,18,3.69,RU,2022-06-22 06:06:45
33,Atuona,-9.8,-139.0333,77.49,82,22,25.26,PF,2022-06-22 06:06:46
34,Penarroya-Pueblonuevo,38.3,-5.2667,52.45,81,0,2.26,ES,2022-06-22 06:06:46
35,Mataura,-46.1927,168.8643,41.49,90,2,1.83,NZ,2022-06-22 06:06:46
36,Port Alfred,-33.5906,26.891,65.8,79,100,20.02,ZA,2022-06-22 06:06:47
37,Ponta Do Sol,32.6667,-17.1,65.03,59,32,5.7,PT,2022-06-22 06:06:47
38,Seoul,37.5683,126.9778,88.99,42,18,10.18,KR,2022-06-22 06:06:47
39,Tabas,33.5959,56.9244,91.26,11,0,7.92,IR,2022-06-22 06:06:48
40,Ribeira Grande,38.5167,-28.7,64.9,88,63,19.51,PT,2022-06-22 06:06:48
41,Cape Town,-33.9258,18.4232,61.38,87,98,6.91,ZA,2022-06-22 06:03:55
42,San Patricio,28.017,-97.5169,84.83,80,21,10.54,US,2022-06-22 06:06:49
43,Bambous Virieux,-20.3428,57.7575,75.22,60,19,9.82,MU,2022-06-22 06:06:49
44,Araouane,18.9048,-3.5265,89.98,35,4,14.88,ML,2022-06-22 06:06:50
45,Kawanoe,34.0167,133.5667,85.57,83,72,4.12,JP,2022-06-22 06:06:50
46,Port Blair,11.6667,92.75,85.8,71,98,11.9,IN,2022-06-22 06:07:51
47,Thompson,55.7435,-97.8558,49.98,61,28,5.32,CA,2022-06-22 06:04:55
48,Vilhena,-12.7406,-60.1458,64.35,60,82,2.57,BR,2022-06-22 06:06:17
49,Faanui,-16.4833,-151.75,80.2,71,53,15.68,PF,2022-06-22 06:07:51
50,Lodja,-3.4833,23.4333,73.87,65,63,0.31,CD,2022-06-22 06:07:52
51,Hervey Bay,-25.2986,152.8535,71.02,51,1,5.99,AU,2022-06-22 06:07:52
52,Bam,29.106,58.357,92.52,11,39,8.9,IR,2022-06-22 06:07:53
53,Axim,4.8699,-2.2405,73.56,92,100,6.31,GH,2022-06-22 06:07:53
54,Rawson,-43.3002,-65.1023,33.76,62,2,9.19,AR,2022-06-22 06:07:13
55,Ostrovnoy,68.0531,39.5131,50.36,68,86,4.68,RU,2022-06-22 06:07:54
56,Bethel,41.3712,-73.414,63.48,93,100,3.44,US,2022-06-22 06:07:54
